ID	time	long	lat	Int	pre_p	elev_e	lat_l^2	lon_l^2
10317	1	-110.25	61.150001525878906	1	42.7111109945509	344.1781005859375	3735.654269433595	12144.039327392587
10318	1	-109.75	61.150001525878906	1	41.55111117892797	346.0007019042969	3735.654269433595	12034.089330444345
10319	1	-109.25	61.150001525878906	1	42.60999980502658	430.26251220703125	3735.654269433595	11924.639333496103
10320	1	-108.75	61.150001525878906	1	42.40000004238552	459.0101013183594	3735.654269433595	11815.68933654786
10321	1	-108.25	61.150001525878906	1	43.48444446987577	456.9993896484375	3735.654269433595	11707.239339599619
10322	1	-107.75	61.150001525878906	1	44.91333336300321	460.2850036621094	3735.654269433595	11599.289342651377
10323	1	-107.25	61.150001525878906	1	45.30555555555556	456.97900390625	3735.654269433595	11491.839345703134
10324	1	-106.75	61.150001525878906	1	46.02222220102948	504.3507080078125	3735.654269433595	11384.889348754892
10325	1	-106.25	61.150001525878906	1	46.70333330366346	401.0	3735.654269433595	11278.43935180665
10326	1	-105.75	61.150001525878906	1	47.69444444444444	408.7239074707031	3735.654269433595	11172.489354858408
10327	1	-105.25	61.150001525878906	1	48.346666696336534	378.1017150878906	3735.654269433595	11067.039357910166
10328	1	-104.75	61.150001525878906	1	48.733333354526096	369.8794860839844	3735.654269433595	10962.089360961923
10329	1	-104.25	61.150001525878906	1	49.097777854071715	370.9153137207031	3735.654269433595	10857.639364013681
10330	1	-103.75	61.150001525878906	1	49.15777772267659	334.9798889160156	3735.654269433595	10753.689367065439
10331	1	-103.25	61.150001525878906	1	48.86666656070285	362.05828857421875	3735.654269433595	10650.239370117197
10332	1	-102.75	61.150001525878906	1	47.378888850741916	343.8982849121094	3735.654269433595	10547.289373168955
10333	1	-102.25	61.150001525878906	1	46.01222231123182	341.9731140136719	3735.654269433595	10444.839376220712
10334	1	-101.75	61.150001525878906	1	45.93555555343628	314.0010986328125	3735.654269433595	10342.88937927247
10335	1	-101.25	61.150001525878906	1	44.141111087799075	311.0	3735.654269433595	10241.439382324228
10336	1	-100.75	61.150001525878906	1	44.327777841356074	309.84991455078125	3735.654269433595	10140.489385375986
10337	1	-100.25	61.150001525878906	1	44.832222260369186	307.97808837890625	3735.654269433595	10040.039388427744
10338	1	-99.75	61.150001525878906	1	44.34111110899183	306.1715087890625	3735.654269433595	9940.089391479502
10339	1	-99.25	61.150001525878906	1	45.88444449106854	284.91259765625	3735.654269433595	9840.63939453126
10340	1	-98.75	61.150001525878906	1	46.096666706932915	257.17730712890625	3735.654269433595	9741.689397583017
10341	1	-98.25	61.150001525878906	1	46.28555554283991	235.0458984375	3735.654269433595	9643.239400634775
10342	1	-97.75	61.150001525878906	1	46.42888884014553	199.84120178222656	3735.654269433595	9545.289403686533
10343	1	-97.25	61.150001525878906	1	45.98888892067805	177.12969970703125	3735.654269433595	9447.83940673829
10344	1	-96.75	61.150001525878906	1	45.9244445800781	184.3282928466797	3735.654269433595	9350.889409790048
10345	1	-96.25	61.150001525878906	1	45.48666661580403	155.08779907226562	3735.654269433595	9254.439412841806
