ID	time	long	lat	y	Int	pre_p	elev_e	lat_l^2	lon_l^2
10043	1	-115.42199999999998	36.13483	-43.91231469318822	1	10.496666666666666	1137.0	1305.7259391289	13322.238083999999
10044	1	-119.254	38.79283	-79.5334475179586	1	12.215000000000002	1501.0	1504.8836594089	14221.516516000002
10045	1	-114.2095	39.003	-51.72158802672848	1	33.70166666666666	2067.0	1521.234009	13043.80989025
10046	1	-76.65583	42.73367	-37.68316957845239	1	64.92200000000001	249.0	1826.1665516688997	5876.116272988899
10047	1	-79.39117	42.293	-47.467502865114284	1	64.67876190476191	488.0	1788.697849	6302.9578739689
10048	1	-74.0425	41.3505	-32.374934501995085	1	77.62777777777778	201.0	1709.8638502499998	5482.29180625
10049	1	-81.5311	39.7928	-27.394913462619453	1	76.80555555555556	276.0	1583.46693184	6647.320267209999
10050	1	-98.20033	36.80317	-26.74962086513995	1	77.6181111111111	345.0	1354.4733220489002	9643.3048121089
10051	1	-97.5195	34.97467	-19.10182567931702	1	58.51444444444445	331.0	1223.2275416089003	9510.05288025
10052	1	-101.61717	36.58783	-32.803759328236296	1	54.04666666666666	999.0	1338.6693041088997	10326.0492388089
10053	1	-123.60917	44.38467	-48.50690460912434	1	28.26377777777778	104.0	1969.9989310088997	15279.226908088902
10054	1	-122.252	44.208	-65.59273254884039	1	49.87744444444445	436.0	1954.3472639999998	14945.551503999997
10055	1	-118.50683	45.22133	-93.78560351191734	1	39.568888888888885	1253.0	2044.9686869689	14043.8687566489
10057	1	-80.43433	33.537	-15.4134936351347	1	93.12507936507934	24.0	1124.7303689999999	6469.6814425489
10058	1	-101.855	43.942829999999994	-53.524134116165875	1	60.39533333333333	733.0	1930.9723084089	10374.441025
10059	1	-98.28783	44.353	-47.33703299772064	1	85.46111111111111	398.0	1967.188609	9660.4975261089
10060	1	-84.28567	35.95683	-24.212593938663375	1	100.56783333333333	341.0	1292.8936236488998	7104.074167348899
10061	1	-97.70417000000002	28.466670000000004	-16.464056548446347	1	53.03322222222223	82.0	810.3513008889	9546.104835388902
10062	1	-96.25567	29.65683	-12.666819223533434	1	62.23066666666667	54.0	879.5275656488999	9265.1540071489
10063	1	-97.63717000000001	33.38833	-25.2950464405744	1	68.88222222222221	312.0	1114.7805801889003	9533.0169656089
10064	1	-111.8915	41.655	-81.1733969606263	1	21.555833333333336	1370.0	1735.1390250000002	12519.707772249998
10065	1	-112.17032999999999	37.61783	-58.74542528218398	1	29.988555555555553	2477.0	1415.1011339088998	12582.182932308902
10066	1	-78.5419	38.0397	-32.101506667173446	1	86.03901587301586	172.0	1447.01877609	6168.830055609999
10067	1	-72.868	44.52367	-53.93497488849085	1	100.94255555555556	399.0	1982.3571902689002	5309.745423999999
10068	1	-123.92583	47.856	-59.74182432597292	1	56.117	176.0	2290.1967360000003	15357.611341188902
10069	1	-117.18417	46.75633	-79.91019477006311	1	26.854555555555553	766.0	2186.1543950688997	13732.129698588898
10070	1	-89.65183	46.05167	-44.06533702135885	1	67.13422222222222	501.0	2120.7563097889	8037.450622348901
10071	1	-88.50033	42.57417	-32.93577450420736	1	77.61166666666666	288.0	1812.5599511889002	7832.308410108901
10072	1	-80.95	37.98	-32.184662564801	1	86.53409523809523	753.0	1442.4803999999997	6552.9025
10073	1	-109.78533	42.924	-84.68088931211686	1	30.28961111111111	2388.0	1842.469776	12052.8186832089
10074	1	-110.41883	44.917	-71.87729613019987	1	31.249166666666664	1912.0	2017.5368890000002	12192.3180185689
10075	1	-106.2408	41.3647	-78.84215789661829	1	49.32833333333334	3212.0	1711.0384060899999	11287.107584639998
10076	1	-104.1922	43.8733	-58.46587103589744	1	22.083055555555557	1466.0	1924.8664528900001	10856.01454084
7107200	1	-119.28333300000001	76.233333	-149.03622965001966	1	14.0	15.0	5811.521060288888	14228.51353158889
7108100	1	-81.25	68.786667	-133.2577201069063	1	28.133333333333336	8.0	4731.605556968888	6601.5625
7108101	1	-78.0	72.4	-152.83518937567237	1	31.88888888888889	54.0	5241.760000000001	6084.0
7139800	1	-63.27	45.37	-54.69014017069463	1	81.22222222222221	40.0	2058.4368999999997	4003.092900000001
7152700	1	-80.27	42.85	-45.38824613518673	1	88.22222222222223	240.0	1836.1225000000002	6443.272899999999
7162800	1	-75.67	45.32	-53.398932494986745	1	87.27932098765432	114.0	2053.9024	5725.9489
7172000	1	-74.28	46.04999999999999	-57.15389203905045	1	85.66666666666667	395.0	2120.6025	5517.5184
7174800	1	-91.62	48.75	-71.27436336882195	1	85.77777777777777	393.0	2376.5625	8394.224400000001
