ID	time	long	lat	y	Int	pre_p	elev_e	lat_l^2	lon_l^2
7139800	1	-63.26999999999999	45.37	-68.69102152719647	1	100.08333333333333	40.0	2058.4369	4003.092900000001
7152700	1	-80.27	42.85000000000001	-66.29604788510258	1	72.96666666666667	240.0	1836.1225000000002	6443.272899999998
7162800	1	-75.66999999999999	45.32	-76.39864146622135	1	77.96163536155203	114.0	2053.9023999999995	5725.948900000002
7172000	1	-74.27999999999999	46.050000000000004	-84.36449902740415	1	94.20833333333333	395.0	2120.6025000000004	5517.5184
7174800	1	-91.62	48.75	-93.06886475444513	1	64.22727272727273	393.0	2376.5625	8394.224400000003
7179900	1	-123.43000000000005	48.649999999999984	-76.9560738641786	1	76.48484848484848	20.0	2366.8224999999993	15234.964899999999
7185600	1	-96.98	50.62	-103.0991588533348	1	47.138888888888886	223.0	2562.3843999999995	9405.120400000002
7186500	1	-104.20000000000003	51.76999999999999	-120.72670705107262	1	33.27777777777778	561.0	2680.1329000000005	10857.640000000001
7186700	1	-101.10000000000001	53.97000000000002	-123.89880093715153	1	34.02777777777778	272.0	2912.7609000000007	10221.209999999997
7187701	1	-114.01666700000003	51.01666699999999	-136.00872081580377	1	33.48	1049.0	2602.700311788889	12999.800353788889
7191300	1	-94.05999999999999	58.75	-133.62737952000768	1	36.00000000000001	5.0	3451.5625	8847.283599999999
7192400	1	-94.98	74.72000000000001	-177.2973289663371	1	12.683333333333335	67.0	5583.078399999999	9021.200400000002
7192500	1	-105.116667	69.10000000000001	-175.4573730120604	1	11.570833333333333	27.0	4774.809999999999	11049.513681188893
7193401	1	-114.27	62.27999999999998	-159.70200709400424	1	24.583333333333332	205.0	3878.7984	13057.632899999999
7195700	1	-133.48333299999996	68.29999999999998	-181.07866002067152	1	20.545454545454547	68.0	4664.889999999999	17817.800188788886
7196400	1	-135.06999999999996	60.72000000000002	-172.44340552492082	1	22.400000000000002	702.0	3686.9184000000005	18243.904899999998
7196401	1	-135.52	63.37	-158.64403343597348	1	25.266666666666666	504.0	4015.7569	18365.670400000003
7222861	1	-87.54305599999999	33.217222	-21.712178855281945	1	100.36666666666666	65.0	1103.3838373972837	7663.78665381914
7622500	1	-106.06999999999995	28.63	-45.14137156346397	1	15.083333333333334	1423.0	819.6769000000003	11250.844899999998
7669200	1	-96.13	19.199999999999996	-22.278421037831038	1	136.77777777777777	16.0	368.63999999999993	9240.976899999998
7831501	1	-83.565667	22.464924999999997	-11.14412261518739	1	139.66666666666666	34.0	504.672855255625	6983.22070115489
7831502	1	-83.64950799999998	22.536956	-13.448388601967958	1	119.83888888888889	170.0	507.9143857459359	6997.240188642064
7831701	1	-83.155261	22.709461	-8.91228140724243	1	133.03333333333333	80.0	515.719618910521	6914.797431978121
7832501	1	-82.33333300000001	23.166666999999993	-15.50877730601876	1	126.41666666666667	40.0	536.6944598888891	6778.777722888888
7833200	1	-80.90583300000002	22.719167	-1.7545815555723803	1	126.4090909090909	60.0	516.1605491738891	6545.7538134238885
7833301	1	-81.185278	22.325556000000002	-9.19439289497374	1	126.85714285714286	10.0	498.430450709136	6591.049363937285
7837401	1	-82.21666700000002	23.050000000000008	-11.785378032422877	1	125.91916666666667	137.0	531.3024999999999	6759.580332588889
7848601	1	-70.02	18.47	-13.399872879707544	1	106.41785714285714	60.0	341.14089999999993	4902.800399999999
